case_id,shape_mismatch,Dice_Myocardium,Dice_LA,Dice_LV,Dice_RA,Dice_RV,Dice_Aorta,Dice_PA,Dice_LAA,Dice_Coronary,Dice_PV,CC_Myocardium,CC_LA,CC_LV,CC_RA,CC_RV,CC_Aorta,CC_PA,CC_LAA,CC_Coronary,CC_PV,Conn_PV_LA,Conn_LAA_LA,Conn_Cor_MyoAo
637,False,0.9488662425056622,0.9751267150674532,0.9796358502129509,0.9691679297880189,0.9527005573600271,0.953354553855632,0.9061252867207901,0.7874072965868046,0.4574046888206771,0.890250702654598,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
697,False,0.9415376261210763,0.9734995464830333,0.9827630360306973,0.9760668193912834,0.9479321401512496,0.9550644018185637,0.8077540184952886,0.8558243131725061,0.4118828168468926,0.8604487894686247,1,1,1,1,1,2,2,1,2,2,1.0,1.0,1.0
494,False,0.9426301121099668,0.9725111689432728,0.9840169185172095,0.9737182259588112,0.9533119272006153,0.9571374267332641,0.9179769632431997,0.849794175629986,0.5541572550285038,0.8750887154009936,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
308,False,0.9343014527632878,0.9681971607925716,0.9794642110715106,0.9749706903571786,0.9339239783184752,0.9542807627531038,0.8982546363972596,0.7523314872736664,0.41541633763271035,0.8669491301358997,1,1,1,1,1,2,2,1,2,2,1.0,1.0,1.0
566,False,0.942429486672467,0.9709729492203064,0.9781422530551478,0.9691786857116357,0.9480554438512712,0.9523199969836504,0.9190544517847786,0.7174727448751946,0.38891314839925534,0.8803858805481392,1,2,1,1,1,2,1,1,1,3,1.0,1.0,1.0
864,False,0.9392238812922986,0.9634321802391543,0.9803632587469336,0.964345115918927,0.9520473239614234,0.9653766981744191,0.8951780084643005,0.7948009642321975,0.3065398123860757,0.8588727291611299,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
749,False,0.9350287772139062,0.9694657510109312,0.9803067371016474,0.972457694043896,0.9497736306453716,0.9603147315524994,0.8837534878594453,0.8341473840868251,0.3969343527354577,0.8706846007932402,1,1,1,1,1,2,2,1,1,3,1.0,1.0,1.0
644,False,0.9424916094219679,0.9753324672157684,0.9807100342408683,0.9787670374600356,0.9495217496469477,0.9580076375299933,0.8621696048849194,0.8436387131673453,0.3791103330450739,0.8759800571758988,1,1,1,1,1,2,2,1,2,3,1.0,1.0,1.0
496,False,0.9470530277835624,0.9738587572650187,0.9770950699355505,0.9699641831767266,0.9403792936486338,0.9576598578813879,0.9019151883947732,0.8075020994681348,0.379873135607749,0.8692931604480605,1,1,1,1,1,2,2,1,1,3,1.0,1.0,1.0
655,False,0.9408132475837886,0.9632945536234023,0.9805283414975507,0.9674743464401877,0.9375405014705149,0.9523743856705623,0.8909244274517949,0.8177750416672923,0.6306435872412554,0.8225078152136158,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
