original_cc,refined_cc,voxel_ratio,sample_id
1,1,1.0694937111101257,1
1,1,1.0597566660385191,10
1,1,1.0345538719459832,100
1,1,1.0282149106144354,1000
1,1,1.0626351551058781,101
1,1,1.0254670025808037,102
1,1,1.0315216115734465,103
1,1,1.0416780623700095,104
1,1,1.056839286280227,105
1,1,1.0775777221291598,106
1,1,1.063174944292828,107
1,1,1.061826783502447,108
1,1,1.0626050441122932,109
1,1,1.0611810399931039,11
1,1,1.0510947056300595,110
1,1,1.0606888891308845,111
1,1,1.0321571416790367,112
1,1,1.0329415705020857,113
1,1,1.0635774212315134,114
1,1,0.9909234624677763,115
1,1,1.0009378182641169,116
1,1,1.063537116303615,117
1,1,1.0442338783297127,118
1,1,1.035623082121635,119
1,1,1.0843749869226618,12
1,1,1.0469283421369975,120
1,1,1.0275658481618855,121
1,1,1.003015622726093,122
1,1,0.9976715761585786,123
1,1,1.066432719330287,124
1,1,1.0306269954889526,125
1,1,1.0439326318730628,126
1,1,1.0154086577618504,127
1,1,1.0491761908767563,128
1,1,1.0386414957664547,129
1,1,1.034831139231303,13
1,1,1.0279633261487278,130
1,1,1.0461085467482056,131
1,1,1.0415749934063316,132
1,1,1.0564412905727416,133
1,1,1.0415965437061794,134
1,1,1.0496703431707117,135
1,1,1.0316371519232581,136
1,1,1.0458019147299842,137
1,1,1.0443778045582928,138
1,1,1.0116596667701032,139
1,1,1.055595426689112,14
1,1,1.0139379556652626,140
1,1,1.043602576962452,142
1,1,1.0255212939783238,143
1,1,1.0478488092497669,144
1,1,1.0373065764588443,145
1,1,1.0101190600232006,146
1,1,1.0464892785620086,147
1,1,1.01697337303601,148
1,1,1.040130725549586,149
1,1,1.033811561761113,15
1,1,1.043440602498611,150
1,1,1.015074322932953,151
1,1,1.0602115313923568,152
1,1,1.047919028161862,153
1,1,0.9977146914388445,154
1,1,1.0373976875965887,155
1,1,1.0240182619909315,156
1,1,1.0343058423956328,157
1,1,1.0520530185758514,158
1,1,1.0449143816355313,159
1,1,0.9746083999294313,16
1,1,1.0466666737622092,160
1,1,1.0,161
1,1,1.061298040161898,162
1,1,1.0253050676078805,163
1,1,1.0077560493779103,164
1,1,0.9987578061692393,165
1,1,1.0190110261090481,166
1,1,1.068275090162915,167
1,1,1.0470492368547748,168
1,1,1.0423722956829655,169
1,1,1.0740310105685917,17
1,1,1.0366879298086973,170
1,1,1.032931522295728,171
1,1,1.0243626829216361,172
1,1,1.0393254364657456,173
1,1,1.0370339030406566,174
1,1,1.051078614971687,175
1,1,1.0493580325241258,176
1,1,1.0492919628429742,177
1,1,1.0533739822732138,178
1,1,1.0178391232005604,179
1,1,1.0460049924145425,18
1,1,1.0258225839192456,180
1,1,1.0066491392812567,181
1,1,1.0578443253962788,182
1,1,1.0525766932950422,183
1,1,1.0513110561985333,184
1,1,1.050523765175179,185
1,1,1.0538931748592317,186
1,1,1.0557122285471292,187
1,1,1.0450689565443665,188
1,1,1.046513434575076,189
1,1,1.0597424041194456,19
1,1,1.0659133380365884,190
1,1,1.0741926891063964,191
1,1,1.0174528094629378,192
1,1,1.0406140537097972,193
1,1,1.0407761866452132,194
1,1,1.0394660625155638,195
1,1,1.06941582660633,196
1,1,1.0323580923942692,197
1,1,1.0834460603444798,198
1,1,1.0466049829334105,199
1,1,1.009553003825038,2
1,1,1.0609394325046155,20
1,1,1.0267629962915705,200
1,1,1.018389421414443,201
1,1,1.030948832253148,202
1,1,1.0305063062218263,203
1,1,0.9958124632449861,204
1,1,1.0212214396463137,205
1,1,1.0368792416809731,206
1,1,1.051265216896945,207
1,1,1.0351595563247722,208
1,1,1.0341944092966011,209
1,1,1.017887111008232,21
1,1,1.0224044149914902,210
1,1,1.015826204723539,211
1,1,1.0557457813449926,212
1,1,1.0099927297905487,213
1,1,1.073578208517097,214
1,1,1.0248544585284691,215
1,1,1.0349528506785879,216
1,1,1.0322294730409818,217
1,1,1.013685530722767,218
1,1,1.0212034450516583,219
1,1,1.032730307196725,22
1,1,1.0368918953070112,220
1,1,1.0538394492319025,221
1,1,1.0331083955988023,222
1,1,1.0299742994528271,223
1,1,1.0355381068383505,224
1,1,1.0499988495054517,225
1,1,1.0234427377889614,226
1,1,1.0493811405510582,227
1,1,1.0468835337377442,228
1,1,1.0093177404373892,229
1,1,1.0800201747377403,23
1,1,1.0683303486289741,230
1,1,1.089364852985698,231
1,1,1.0145503387528856,232
1,1,1.0288956874258315,233
1,1,1.0589987973195527,234
1,1,1.059151728673111,235
1,1,1.0877530301225662,236
1,1,1.0219729137408002,237
1,1,1.0203063726468968,238
1,1,1.0104667837405459,239
1,1,1.048626073121416,24
1,1,1.035061589621095,240
1,1,1.0106359315117983,241
1,1,1.013009433134783,242
1,1,1.0476123209259478,243
1,1,1.0685174589890951,244
1,1,1.0374655436772382,245
1,1,1.0326399749181667,246
1,1,1.0227345494050286,247
1,1,1.0188515295415936,248
1,1,1.0481275537273222,249
1,1,1.0318183325778598,25
1,1,1.0579350263201317,250
1,1,1.0070415473577485,251
1,1,1.0603960632636131,252
1,1,1.0696878265973744,253
1,1,1.0314935668825864,254
1,1,1.0362078045726901,255
1,1,1.0306382537119252,256
1,1,1.0346802672447215,257
1,1,1.0646165615367518,258
1,1,1.0467544264890938,259
1,1,1.0556351434588922,26
1,1,1.0350277955253606,260
1,1,1.0264869111274424,261
1,1,1.0354705366303363,262
1,1,1.0405022304271534,263
1,1,1.009567137218171,264
1,1,1.0572650675411934,265
1,1,1.0523808652409916,266
1,1,1.0216368956836823,267
1,1,1.0306759975327133,268
1,1,1.0726525641715992,269
1,1,1.0395092054594157,27
1,1,1.0513574738349336,270
1,1,1.064665123767641,271
1,1,1.043911499410106,272
1,1,1.040272533016814,273
1,1,1.058587719693518,274
1,1,1.050344477816419,275
1,1,1.0128777936642086,276
1,1,1.0154009377459872,277
1,1,1.0513863526966833,278
1,1,1.0429068712423168,279
1,1,1.0493747257569108,28
1,1,1.0584019158408196,280
1,1,1.0553032202290902,281
1,1,1.0528450409930992,282
1,1,1.0935544387958436,283
1,1,1.0443189658302772,284
1,1,1.0492143357423058,285
1,1,1.0679580023939803,286
1,1,1.0447151712188063,287
1,1,1.0465931202372687,288
1,1,1.0367363218278773,289
1,1,1.0427614752069525,29
1,1,1.0585349222830045,290
1,1,1.0379641185443338,291
1,1,1.0371174927325717,292
1,1,1.0130407194276088,293
1,1,1.0340468958562492,294
1,1,1.0745441590877536,295
1,1,1.0576347351783555,296
1,1,0.9839969399373755,297
1,1,1.0554463508466485,298
1,1,1.0719343079335288,299
1,1,1.0515787703618253,3
1,1,1.046412522845918,30
1,1,1.0493153190657307,300
1,1,1.043734389967501,301
1,1,0.9990602030140712,302
1,1,1.0222008149666253,303
1,1,1.0453955124608334,304
1,1,1.0656323390794498,305
1,1,1.0339691472882429,306
1,1,1.056070911963513,307
1,1,1.0380958067454944,308
1,1,1.0238176214635584,309
1,1,1.0128847660169475,31
1,1,1.012075102526757,310
1,1,1.0344803329796197,311
1,1,1.0238904597983771,312
1,1,1.0620449505266354,313
1,1,1.05437143589415,314
1,1,1.0354483354892103,315
1,1,1.0572336115765777,316
1,1,1.0668961504348955,317
1,1,1.0346576973046302,318
1,1,1.0333949037273162,319
1,1,1.0548185931089378,32
1,1,1.0717531732881762,320
1,1,1.0159335261063296,321
1,1,1.059785804219269,322
1,1,1.0434408621656637,323
1,1,0.9974312673657515,324
1,1,1.0712903427180223,325
1,1,1.0276147798629043,326
1,1,1.0395882881982612,327
1,1,1.0579577840752383,328
1,1,1.0466539629912883,329
1,1,1.0548721098582898,33
1,1,1.0743264105426378,330
1,1,1.0340076438796206,331
1,1,1.0590483583214743,332
1,1,1.0067391865335371,333
1,1,1.0328459341481397,334
1,1,1.0489398536192387,335
1,1,1.0387148816001195,336
1,1,1.0256592546386332,337
1,1,1.0301595323578128,338
1,1,1.0160929848536613,339
1,1,1.0114441942746863,34
1,1,1.02198862147751,340
1,1,1.0119791170657744,341
1,1,1.0329529496054175,342
1,1,1.0459841172434017,343
1,1,1.0372609033323612,344
1,1,1.004629477132599,345
1,1,1.044314575482905,346
1,1,1.0669336449772167,347
1,1,1.061088017574505,348
1,1,1.0538567502552891,349
1,1,1.024384450954002,35
1,1,1.0291188403583045,350
1,1,1.0151102909929108,351
1,1,1.063805344697304,352
1,1,1.0494039466581173,353
1,1,1.0324874921081615,354
1,1,1.0209295390436708,355
1,1,1.0504950727564677,356
1,1,1.0669980449425973,357
1,1,1.031732444979102,358
1,1,1.0406488797937021,359
1,1,1.041290888555713,36
1,1,1.077280231292082,360
1,1,1.0958876431736853,361
1,1,1.082201054347736,362
1,1,1.031602681142549,363
1,1,0.9977855575336846,364
1,1,1.0081261257242276,365
1,1,1.040820905089526,366
1,1,1.048169620083508,367
1,1,1.0183925442347224,368
1,1,1.0367266951489438,369
1,1,1.020625651850788,37
1,1,1.0510170933782563,370
1,1,1.0252639049981147,371
1,1,1.0164226837336854,372
1,1,1.0672660508528118,373
1,1,1.0422907097640262,374
1,1,1.0607083112669071,375
1,1,0.9992329831035954,376
1,1,1.0356250070241744,377
1,1,1.0333250490330321,378
1,1,1.069189822942268,379
1,1,1.039533298871525,38
1,1,1.0130981801842283,380
1,1,1.0383157837221828,381
1,1,0.9814335171683983,382
1,1,1.0358173550753327,383
1,1,1.0156712301970043,384
1,1,1.0549795061165244,385
1,1,1.021484699279534,386
1,1,1.0353188304730154,387
1,1,0.9956868853375056,388
1,1,1.0491070004090075,389
1,1,1.0437099221459114,39
1,1,1.0118312918350512,390
1,1,1.0171962702995516,391
1,1,1.0449727270075548,392
1,1,1.0687850948364883,393
1,1,1.047023109596602,394
1,1,1.0665349438091747,395
1,1,1.0170890431158208,396
1,1,1.017435147201588,397
1,1,1.0203068023642374,398
1,1,1.0452422192464363,399
1,1,1.0391743892165122,4
1,1,1.0259443449007204,40
1,1,1.0284934868793656,400
1,1,1.051005594921412,401
1,1,1.061414803113999,402
1,1,1.0038637092329141,403
1,1,1.0285291441256763,404
1,1,1.0106945657208986,405
1,1,1.0289685364808665,406
1,1,1.0408965813873015,407
1,1,1.027252607538907,408
