original_cc,refined_cc,voxel_ratio,sample_id
1,1,0.9153919772677193,1
1,1,0.916673950987331,10
1,1,0.9616980296561894,100
1,1,0.987037560737332,1000
1,1,0.9953163851496184,101
1,1,1.0407349665924277,102
1,1,1.059024558243039,103
1,1,0.9418801643272361,104
1,1,0.949899957285133,105
1,1,0.9880330706738402,106
1,1,0.9465978205778003,107
1,1,0.893117536323952,108
1,1,0.9444612122337791,109
1,1,0.9307443065485459,11
1,1,0.9498752359871385,110
1,1,0.9704832591917569,111
1,1,1.1879444996108532,112
1,1,0.8966935635780708,113
1,1,0.9044769426558499,114
1,1,0.9671849746818659,115
1,1,1.1289527315758332,116
1,1,0.9697660320857032,117
1,1,0.9025314611827011,118
1,1,0.9244784444004206,119
1,1,0.9069559309046392,12
1,1,0.9880270155732792,120
1,1,0.9695927214623434,121
1,1,0.9152002289073575,122
1,1,0.9797931241684192,123
1,1,1.0120625135357015,124
1,1,0.9348009629536664,125
1,1,0.9743112504314889,126
1,1,0.9588135971644666,127
1,1,0.979712092936736,128
1,1,0.9609578516266463,129
1,1,0.9846275942293685,13
1,1,0.9297456802330823,130
1,1,0.9573404774836038,131
1,1,0.9260794710696373,132
1,1,1.0279642252169439,133
1,1,0.9475284400415516,134
1,1,0.9856413882995687,135
1,1,0.9426755935373267,136
1,1,0.9433234130228603,137
1,1,0.9960269679843432,138
1,1,0.9770372119988834,139
1,1,1.0367002539526502,14
1,1,0.9297875672388112,140
1,1,0.9585407703555943,142
1,1,0.9314470858352748,143
1,1,0.8929972019057291,144
1,1,1.4992754577789487,145
1,1,0.9023980185784786,146
1,1,0.9457113816922151,147
1,1,1.011791644777415,148
1,1,0.8867739968008101,149
1,1,1.0431365190559587,15
1,1,0.9041393021321088,150
1,1,0.9595961468068446,151
1,1,0.9572419949444013,152
1,1,0.9506024773719618,153
1,1,0.9774476065269507,154
1,1,0.9787216396041064,155
1,1,1.0043462789751931,156
1,1,0.940662744068363,157
1,1,0.9659707324547963,158
1,1,0.9433838616310004,159
1,1,0.9285259319998829,16
1,1,1.0550936511235824,160
1,1,1.052275367753278,161
1,1,0.9629287585701523,162
1,1,0.9531801072878694,163
1,1,1.0878784999366526,164
1,1,0.9533065167153454,165
1,1,0.9759363163118556,166
1,1,0.9392501971646758,167
1,1,0.9467554183342374,168
1,1,1.012240663900415,169
1,1,0.9295702196719411,17
1,1,0.9826666803661882,170
1,1,0.9621098205508496,171
1,1,0.9300583485114682,172
1,1,0.969311089261286,173
1,1,0.9413857987230773,174
1,1,0.9722833968953107,175
1,1,0.9745449184942842,176
1,1,0.930814640674401,177
1,1,1.007028878220946,178
1,1,0.9386200068966284,179
1,1,0.9287939675802592,18
1,1,0.984928726194549,180
1,1,0.9627524879410441,181
1,1,0.9626016472513886,182
1,1,0.9804689246174249,183
1,1,0.9204517385744346,184
1,1,0.9456809268896411,185
1,1,0.9899925989001807,186
1,1,0.8788327697174648,187
1,1,0.9483557750160791,188
1,1,0.9868974697682958,189
1,1,0.921609540015666,19
1,1,0.9895317989531799,190
1,1,1.0158290901040514,191
1,1,0.9820762196733442,192
1,1,1.0401920068358455,193
1,1,0.9008604241396588,194
1,1,0.9996388688260459,195
1,1,0.895298924529188,196
1,1,0.9669571579196523,197
1,1,1.0324075329771172,198
1,1,0.8910092799535776,199
1,1,1.0265732959850606,2
1,1,0.9912790592262477,20
1,1,0.9743229145653339,200
1,1,0.9494830418397913,201
1,1,0.9736907411261788,202
1,1,0.9284934081001849,203
1,1,0.9435516846581616,204
1,1,0.9780175227624119,205
1,1,0.9470748268215176,206
1,1,0.9867153596037243,207
1,1,0.9541405824514966,208
1,1,0.9772374846668364,209
1,1,0.9192686279684417,21
1,1,1.1705653021442495,210
1,1,0.9334181643749838,211
1,1,0.9832019478534306,212
1,1,1.003315521480707,213
1,1,0.9919388991924296,214
1,1,0.9843931004916493,215
1,1,0.9885526674720393,216
1,1,0.9475176386821154,217
1,1,0.9343611288430991,218
1,1,0.9718231273538848,219
1,1,0.978716484252958,22
1,1,0.9374574301855042,220
1,1,1.046920084222201,221
1,1,0.9566787003610109,222
1,1,0.9521056977704376,223
1,1,0.9715137585038723,224
1,1,0.9438952609726221,225
1,1,0.9474384300808791,226
1,1,0.9419017000834998,227
1,1,1.0131294495817817,228
1,1,0.918458359450211,229
1,1,0.9535977885977728,23
1,1,0.9419003672158754,230
1,1,0.9626035858161882,231
1,1,1.0455219454329774,232
1,1,0.955153581115754,233
1,1,0.9309358727841794,234
1,1,0.9407066329354747,235
1,1,0.9363742861326695,236
1,1,1.0271833471386898,237
1,1,1.0001211448185352,238
1,1,0.9099851739659108,239
1,1,0.9366571153404636,24
1,1,1.054457260793496,240
1,1,0.9334970077377696,241
1,1,0.9350167779547842,242
1,1,0.9236643804165519,243
1,1,0.9494431163913702,244
1,1,0.9214311268125258,245
1,1,0.9428028223700946,246
1,1,0.92014774917958,247
1,1,0.9562204244818916,248
1,1,0.9709609016324182,249
1,1,1.1276444575110556,25
