case_id,class_id,class_name,HD95,ASD
655,1,Myocardium,1.7320508075688772,0.49481966869053307
655,2,LA,2.0,0.6496058143130496
655,3,LV,1.4142135623730951,0.3589028392862099
655,4,RA,1.4142135623730951,0.5566352878556398
655,5,RV,4.58257569495584,1.6659370514060248
655,6,Aorta,2.0,0.5963940646044621
655,7,PA,5.656854249492381,1.3728898227082766
655,8,LAA,4.69041575982343,1.5545018888758042
655,9,Coronary,22.825424421026653,2.511575981486324
655,10,PV,5.830951894845301,1.1186679376432356
827,1,Myocardium,1.7320508075688772,0.5179659715938796
827,2,LA,1.4142135623730951,0.4650753205277621
827,3,LV,1.4142135623730951,0.43647450713378466
827,4,RA,1.4142135623730951,0.46539010545414916
827,5,RV,4.123105625617661,1.2246271993589948
827,6,Aorta,2.0,0.5992370020934525
827,7,PA,4.123105625617661,1.2816728539204882
827,8,LAA,6.557438524302,1.8843695320836873
827,9,Coronary,104.2401074443038,16.34573107886296
827,10,PV,4.58257569495584,1.1525903582511923
359,1,Myocardium,1.4142135623730951,0.4719762994839508
359,2,LA,1.4142135623730951,0.5767057608567476
359,3,LV,1.4142135623730951,0.3575835517304157
359,4,RA,1.4142135623730951,0.549495151171202
359,5,RV,3.0,1.047849478868773
359,6,Aorta,2.0,0.6349229050041257
359,7,PA,79.5361553005927,4.327202324129558
359,8,LAA,3.1622776601683795,0.9898385545266282
359,9,Coronary,102.31813133555558,14.600543658186119
359,10,PV,4.242640687119285,1.033037218791888
317,1,Myocardium,1.4142135623730951,0.5146287523829631
317,2,LA,1.4142135623730951,0.4987118111469159
317,3,LV,1.4142135623730951,0.3912895234693521
317,4,RA,1.4142135623730951,0.5048427975228994
317,5,RV,4.123105625617661,1.6619757473291057
317,6,Aorta,2.0,0.7214293573175591
317,7,PA,5.744562646538029,1.429128906199494
317,8,LAA,6.708203932499369,1.6762394669017295
317,9,Coronary,159.20427129948493,41.246677493420414
317,10,PV,4.123105625617661,1.035320856762876
120,1,Myocardium,1.4142135623730951,0.47097667432934465
120,2,LA,1.4142135623730951,0.44338026454566093
120,3,LV,1.4142135623730951,0.4167174970263834
120,4,RA,1.4142135623730951,0.6209109649566403
120,5,RV,3.3166247903554,1.1052701777107847
120,6,Aorta,2.0,0.6192548576639636
120,7,PA,3.0,1.0076737942763003
120,8,LAA,6.4031242374328485,2.1850285566084136
120,9,Coronary,136.31214179228496,27.220229421372302
120,10,PV,2.8284271247461903,0.7515575511044654
471,1,Myocardium,2.0,0.5590427575835775
471,2,LA,1.4142135623730951,0.5129446982119175
471,3,LV,1.4142135623730951,0.44265725915518883
471,4,RA,1.4142135623730951,0.4144887959506784
471,5,RV,4.58257569495584,1.305254195088367
471,6,Aorta,2.0,0.687283552820541
471,7,PA,3.0,0.8954538049229448
471,8,LAA,5.0990195135927845,1.6410024701375971
471,9,Coronary,49.57822102496216,5.085627923076231
471,10,PV,7.280109889280518,1.0227647894222691
20,1,Myocardium,2.0,0.5761291407342295
20,2,LA,1.4142135623730951,0.5388080531093506
20,3,LV,1.4142135623730951,0.4081291567343599
20,4,RA,1.4142135623730951,0.529811920835749
20,5,RV,4.242640687119285,1.7419555408981682
20,6,Aorta,2.0,0.6475624050880081
20,7,PA,110.53053876644228,6.420792213691421
20,8,LAA,17.11724276862369,3.0507153850204047
20,9,Coronary,123.32072007574396,25.247935653048135
20,10,PV,3.605551275463989,0.9469648077650109
149,1,Myocardium,2.0,0.5207405108740244
149,2,LA,1.4142135623730951,0.46532742029140933
149,3,LV,1.0,0.3194043418141642
149,4,RA,1.4142135623730951,0.614598799117776
149,5,RV,4.0,1.1577246031672783
149,6,Aorta,2.23606797749979,0.8118463971353586
149,7,PA,4.123105625617661,1.2807282681863563
149,8,LAA,8.660254037844387,2.8313985505728914
149,9,Coronary,109.754270987511,18.95778635426629
149,10,PV,3.0,0.9307484992588576
683,1,Myocardium,2.23606797749979,0.6799864542479939
683,2,LA,2.0,0.6566392542397117
683,3,LV,1.4142135623730951,0.4355894822864297
683,4,RA,1.7320508075688772,0.7501763425180126
683,5,RV,2.8284271247461903,0.8506196431851978
683,6,Aorta,2.0,0.7381911835975429
683,7,PA,4.58257569495584,1.2457565377764848
683,8,LAA,3.605551275463989,1.1059700728282706
683,9,Coronary,160.15617378046966,44.166002379360194
683,10,PV,4.123105625617661,1.0857266127081915
865,1,Myocardium,2.0,0.5749699183789095
865,2,LA,1.4142135623730951,0.6145561264845807
865,3,LV,1.4142135623730951,0.46522830351001543
865,4,RA,1.4142135623730951,0.477228246343637
865,5,RV,4.0,1.2342889888497781
865,6,Aorta,2.0,0.7056476465959789
865,7,PA,84.32081593533118,5.520230046660588
865,8,LAA,5.0990195135927845,1.328423361702425
865,9,Coronary,138.50992744204294,18.35395382145754
865,10,PV,3.7416573867739413,1.1108406806390936
223,1,Myocardium,2.0,0.5403097004786521
223,2,LA,2.0,0.6110063487734745
223,3,LV,1.4142135623730951,0.3755749070412089
223,4,RA,1.4142135623730951,0.5820164178251203
223,5,RV,3.7416573867739413,1.1494428411282152
223,6,Aorta,2.0,0.6861156168772264
223,7,PA,4.47213595499958,1.2195855763307661
223,8,LAA,5.385164807134504,1.8113851310620657
223,9,Coronary,138.4088147481944,23.057905885854964
223,10,PV,3.0,0.8188279765936456
258,1,Myocardium,2.0,0.5440127354571216
258,2,LA,1.4142135623730951,0.538318672920238
258,3,LV,1.4142135623730951,0.4372073811610364
258,4,RA,2.23606797749979,0.7894270760440396
258,5,RV,3.1622776601683795,1.1647420062343572
258,6,Aorta,2.0,0.8108157124689204
258,7,PA,3.605551275463989,1.0214578502662204
258,8,LAA,10.04987562112089,3.1521113477157803
258,9,Coronary,71.87489130426563,7.1226341840223695
258,10,PV,3.0,0.8320522310690388
158,1,Myocardium,1.4142135623730951,0.4248800363425378
158,2,LA,1.7320508075688772,0.5962183134904818
158,3,LV,1.4142135623730951,0.4113423104143207
158,4,RA,1.4142135623730951,0.570412686156288
158,5,RV,3.3166247903554,1.2586125015907457
158,6,Aorta,2.0,0.6748731383411533
158,7,PA,5.477225575051661,1.2933276268956
158,8,LAA,5.385164807134504,1.7466661613396548
158,9,Coronary,129.86531484580476,27.681484403290856
158,10,PV,3.3166247903554,0.9576179983811688
453,1,Myocardium,1.4142135623730951,0.448496408912214
453,2,LA,1.4142135623730951,0.5843884501962466
453,3,LV,1.4142135623730951,0.42489569683085654
453,4,RA,1.4142135623730951,0.46153181764176676
453,5,RV,4.242640687119285,1.1814226108915973
453,6,Aorta,2.0,0.7105559060366973
453,7,PA,3.605551275463989,1.1911272199049594
453,8,LAA,4.358898943540674,1.3983283830745639
453,9,Coronary,131.24023773218335,28.498485323726232
453,10,PV,3.1622776601683795,0.9862641432510656
678,1,Myocardium,2.449489742783178,0.6713049493403247
678,2,LA,2.0,0.6688206249726205
678,3,LV,1.0,0.3634261237234229
678,4,RA,1.4142135623730951,0.40066796879162253
678,5,RV,3.7416573867739413,1.1743393658681032
678,6,Aorta,2.0,0.6355388970535396
678,7,PA,8.774964387392123,1.8542255877643323
678,8,LAA,9.899494936611665,1.4573104859847787
678,9,Coronary,161.53637361288014,23.498196809111086
678,10,PV,3.0,0.9843149859746563
708,1,Myocardium,2.0,0.5070212292153257
708,2,LA,1.4142135623730951,0.5901317937773822
708,3,LV,1.0,0.3535011951020726
708,4,RA,1.4142135623730951,0.5402000457578207
708,5,RV,6.782329983125268,1.3705038085223582
708,6,Aorta,2.23606797749979,0.8256475432085643
708,7,PA,101.80864403379509,6.4614369973688515
708,8,LAA,6.782329983125268,1.5194388371473329
708,9,Coronary,151.82226450688975,28.67204305747701
708,10,PV,3.1622776601683795,1.030903880783963
65,1,Myocardium,2.0,0.5032961394765298
65,2,LA,1.4142135623730951,0.5617678369269694
65,3,LV,1.0,0.3339270328927548
65,4,RA,1.4142135623730951,0.5331312265569481
65,5,RV,4.123105625617661,0.9766371359536148
65,6,Aorta,2.0,0.6772143406683737
65,7,PA,4.123105625617661,1.2640910004248127
65,8,LAA,4.69041575982343,1.4700959721797124
65,9,Coronary,126.38433447227548,18.059336634675446
65,10,PV,8.306623862918075,1.460771413001224
676,1,Myocardium,2.23606797749979,0.5659660523103889
676,2,LA,1.4142135623730951,0.48700211869750654
676,3,LV,1.0,0.3624929322961076
676,4,RA,1.4142135623730951,0.46507919043184276
676,5,RV,3.605551275463989,1.1081439972601246
676,6,Aorta,2.0,0.6453217106560529
676,7,PA,3.4641016151377544,1.0279435438566926
676,8,LAA,7.810249675906654,3.3273054936037747
676,9,Coronary,123.78610584391126,22.10202713181386
676,10,PV,3.0,0.8556835476236602
674,1,Myocardium,1.7320508075688772,0.5130236410052826
674,2,LA,1.4142135623730951,0.5475763766949877
674,3,LV,1.0,0.3561578617175064
674,4,RA,1.4142135623730951,0.4262258577109473
674,5,RV,3.7416573867739413,1.1002159090096955
674,6,Aorta,2.0,0.6132057431457125
674,7,PA,4.898979485566356,1.5102137809578278
674,8,LAA,4.123105625617661,1.2518711930108053
674,9,Coronary,146.52303573158727,35.1870088472177
674,10,PV,3.0,0.8912854046558728
565,1,Myocardium,1.7320508075688772,0.5797031065614092
565,2,LA,2.0,0.6706734770354388
565,3,LV,1.4142135623730951,0.465613429622741
565,4,RA,2.0,0.6336357401042219
