Class,Samples,Mean Orig CC,Mean Final CC,Max Final CC,Zero Count
Myocardium,998,1.06312625250501,1.0,1,0
LA,998,1.0120240480961924,1.001002004008016,2,0
LV,998,1.283567134268537,1.0,1,0
RA,998,1.0110220440881763,1.0,1,0
RV,998,1.531062124248497,1.0,1,0
Aorta,998,1.997995991983968,1.9889779559118237,2,0
PA,998,2.0160320641282565,1.4859719438877756,2,0
LAA,998,1.3647294589178356,1.0,1,0
Coronary,998,5.4649298597194385,1.8216432865731462,2,0
PV,998,3.0490981963927855,2.5751503006012024,4,0
