original_cc,refined_cc,voxel_ratio,sample_id
1,1,1.0104145151577741,1
1,1,1.0191305796532315,10
1,1,1.0128147888493257,100
1,1,1.0046645601807465,1000
1,1,1.0068584909795313,101
1,1,1.0171904132625216,102
1,1,1.0141648602307776,103
1,1,1.0152606552695942,104
1,1,1.0233067145567385,105
1,1,1.0188327161722097,106
1,1,1.0145482850166565,107
1,1,1.0115169892371227,108
1,1,1.0173128601001968,109
1,1,1.0112311853388156,11
1,1,1.0103708758510148,110
1,1,1.006324021745244,111
1,1,1.0074688077928298,112
1,1,1.018556710195301,113
1,1,1.0119518541239185,114
1,1,1.018079341840588,115
1,1,1.023417575985618,116
1,1,1.0125886053827333,117
1,1,1.016371298460742,118
1,1,1.0055372402547023,119
1,1,1.0065796169148225,12
1,1,1.0227125737112421,120
1,1,1.0176544339398867,121
1,1,1.0167314497882463,122
1,1,1.0174452031840417,123
1,1,1.0113557864722655,124
1,1,1.0088981682228786,125
1,1,1.0178476536407037,126
1,1,1.0192411478987258,127
1,1,1.0165857153091196,128
1,1,1.0180343719030238,129
1,1,1.017603908849022,13
1,1,1.0169041156556538,130
1,1,1.0097869108419995,131
1,1,1.0054971064642968,132
1,1,1.0136279008345626,133
1,1,1.0170994064469798,134
1,1,1.014215905138496,135
1,1,1.0172532826177574,136
1,1,1.0188344406295982,137
1,1,1.0200129922725876,138
1,1,1.0105373045842945,139
1,1,1.0065730695596682,14
1,1,1.0205156167464686,140
1,1,1.0214202477984113,142
1,1,1.0222763653076807,143
1,1,1.011958887048873,144
1,1,1.0138525295320204,145
1,1,0.9961164994018904,146
1,1,1.016110592072968,147
1,1,1.0164283142978696,148
1,1,1.0045236884686541,149
1,1,1.0107899389060784,15
1,1,1.0236207529052344,150
1,1,1.015309574355065,151
1,1,1.0077072099899835,152
1,1,1.0091690316420443,153
1,1,1.0186795485528797,154
1,1,1.0152531811900745,155
1,1,1.0146532032602458,156
1,1,1.0190486667625729,157
1,1,1.0087985780745958,158
1,1,1.0206024713854565,159
1,1,1.0148626212294731,16
1,1,1.019724932463168,160
1,1,1.021228604292486,161
1,1,1.0080443783862296,162
1,1,1.0177081578799618,163
1,1,1.0178167138061203,164
1,1,1.0129983209462579,165
1,1,1.01365098258089,166
1,1,1.0104511313110205,167
1,1,1.0103137360534187,168
1,1,1.0091353483532173,169
1,1,1.0026067771628926,17
1,1,1.018858331184682,170
1,1,1.0023731464925265,171
1,1,1.0169996597002295,172
1,1,1.0116972930250938,173
1,1,1.0095348239022484,174
1,1,1.0148781660976782,175
1,1,1.0091217243437427,176
1,1,1.0210311367198013,177
1,1,1.0024582395450776,178
1,1,1.0211181166411634,179
1,1,0.9979929781430424,18
1,1,1.0247475972079634,180
1,1,1.0053130177196992,181
1,1,1.0241461089912485,182
1,1,1.0118076075942455,183
1,1,1.0238150359113434,184
1,1,1.0043951500726407,185
1,1,1.028680195346862,186
1,1,1.0220303564127544,187
1,1,1.0169100391770383,188
1,1,1.0208638877384462,189
1,1,1.0123288702023694,19
1,1,1.0043580145613964,190
1,1,1.016580660329191,191
1,1,1.0130834457801767,192
1,1,1.0224497916274005,193
1,1,1.0146812656931206,194
1,1,1.020239165762361,195
1,1,1.0159443390385157,196
1,1,1.0158456130268643,197
1,1,1.0201967350355798,198
1,1,1.0163474519068512,199
1,1,1.0166561207106353,2
1,1,1.0151123954037584,20
1,1,1.0094217563853578,200
1,1,1.019867859403403,201
1,1,1.0038279172659215,202
1,1,1.0219596873894539,203
1,1,1.0119521693667684,204
1,1,1.0222674679207153,205
1,1,1.0189057507016754,206
1,1,1.0194226484549065,207
1,1,1.0239332073251637,208
1,1,1.018458704576499,209
1,1,1.0081714275419573,21
1,1,1.0114716275665263,210
1,1,1.014917152334949,211
1,1,1.0095243030030214,212
1,1,1.0073909696663539,213
1,1,1.0142334011625411,214
1,1,1.0090224848568137,215
1,1,1.0263914664374343,216
1,1,1.0135148655622375,217
1,1,1.0171978813427935,218
1,1,1.0155521496097473,219
1,1,1.0120526323870354,22
1,1,1.0181175069451722,220
1,1,1.0202368918953943,221
1,1,1.013824100521018,222
1,1,1.0063710018004401,223
1,1,1.0095376669478693,224
1,1,1.019502566768471,225
1,1,1.0215714106190423,226
1,1,1.0181427450454128,227
1,1,1.0130979946699288,228
1,1,1.0170062934281636,229
1,1,1.0106017924680049,23
1,1,1.014295808849085,230
1,1,1.016172092379747,231
1,1,1.0288351373997504,232
1,1,1.0130462058746152,233
1,1,1.0147827716975963,234
1,1,1.0079573945978626,235
1,1,1.009939174657468,236
1,1,1.0167386334210509,237
1,1,1.0181940821479523,238
1,1,1.0171847166690866,239
1,1,1.0124993038454366,24
1,1,1.0246834565194505,240
1,1,1.0335659943212772,241
1,1,1.0180010741020835,242
1,1,1.0156957755727962,243
1,1,1.0112569967700242,244
1,1,1.0081204029185005,245
1,1,1.0128733206245462,246
1,1,1.0083698341120433,247
1,1,1.0241731172674458,248
1,1,1.0096235783918053,249
1,1,1.0187108629399788,25
1,1,1.010409884562921,250
1,1,1.0207661868555693,251
1,1,1.0126842010655264,252
1,1,1.0102729073423729,253
1,1,1.0193227501926172,254
1,1,1.011473028473081,255
1,1,1.0106090448255465,256
1,1,1.0209149999373803,257
1,1,1.007643998928776,258
1,1,1.0114623312332394,259
1,1,1.0215192951702545,26
1,1,1.0165583208823885,260
1,1,1.006271542522359,261
1,1,1.016124449495667,262
1,1,1.0148770561151335,263
1,1,1.0197524497999784,264
1,1,1.0169987940044793,265
1,1,1.0062083609820835,266
1,1,1.0011564652414608,267
1,1,1.0171141295953043,268
1,1,1.0191316050986314,269
1,1,1.0158783810339813,27
1,1,1.002526126052007,270
1,1,1.0100510861907779,271
1,1,1.0124237347074259,272
1,1,1.0155679752519895,273
1,1,1.0070824760336214,274
1,1,1.0111920627941045,275
1,1,1.0127629533543614,276
1,1,1.0065231718432308,277
1,1,1.008874863917081,278
1,1,1.0093897901316553,279
1,1,1.006980140912159,28
1,1,1.012697793478444,280
1,1,1.0168836311438896,281
1,1,1.0094487098784015,282
1,1,1.0136208744620603,283
1,1,1.0097820087431557,284
1,1,1.0160627858951523,285
1,1,1.0098675781770476,286
1,1,1.0104561078693972,287
1,1,1.0053594740631897,288
1,1,1.0093227435450194,289
1,1,1.0132676665213023,29
1,1,1.0179434049918392,290
1,1,1.0097078708719223,291
1,1,1.0178408594260062,292
1,1,1.0173648550782948,293
1,1,1.0355002895709895,294
1,1,1.0187112980488375,295
1,1,1.0220897832401394,296
1,1,1.0069344908012985,297
1,1,1.0137188822469974,298
1,1,1.0219528616622284,299
1,1,1.0174662960492546,3
1,1,1.0059287982241705,30
1,1,1.0092630922492165,300
1,1,1.008474805415532,301
1,1,1.0110002000756722,302
1,1,1.0091635462504898,303
1,1,1.0131080279852958,304
1,1,1.0074587886729074,305
1,1,1.0265489192549355,306
1,1,1.0228887163797433,307
1,1,1.012354593038239,308
1,1,1.0144442479342173,309
1,1,1.0149470414044126,31
1,1,1.0152438270186983,310
1,1,1.015032166429944,311
1,1,1.0213756340765126,312
1,1,1.011796573780715,313
1,1,1.0165468738443746,314
1,1,0.9924922202450728,315
1,1,1.013129723273389,316
1,1,1.006254341408353,317
1,1,1.0120887613159637,318
1,1,1.0125538522057183,319
1,1,0.9911125817959673,32
1,1,1.0154002884780262,320
1,1,1.0137295535480755,321
1,1,1.0088830780724691,322
1,1,1.012524485429286,323
1,1,1.021895004135189,324
1,1,1.0111576628191459,325
1,1,1.0188582683938001,326
1,1,1.0093368496185542,327
1,1,1.0076239961480924,328
1,1,1.0113391556500866,329
1,1,1.007934682374395,33
1,1,1.0060858985278014,330
1,1,1.016555730855955,331
1,1,1.0089400319173432,332
1,1,1.0173776256753662,333
1,1,1.0189352433661647,334
1,1,1.0086963636324489,335
1,1,1.0257971030709239,336
1,1,1.0186099889625935,337
1,1,1.012757576804599,338
1,1,1.0140487597352683,339
1,1,1.0055279436478708,34
1,1,1.0178846616052368,340
1,1,1.0219513020238669,341
1,1,1.0240220791168353,342
1,1,0.9956453901791437,343
1,1,1.0300547449887605,344
1,1,1.0188921136297018,345
1,1,1.0142277313198211,346
1,1,1.0034510213968122,347
1,1,1.0257392936625878,348
1,1,1.0147769014458994,349
1,1,1.0136993420381042,35
1,1,1.0052487022969505,350
1,1,1.032887385683834,351
1,1,1.0207537292122761,352
1,1,1.0152219527342523,353
1,1,1.0223863782670273,354
1,1,1.0126558505097694,355
1,1,1.0147396147288719,356
1,1,1.0073642871230843,357
1,1,1.0149922782964036,358
1,1,1.0183263964051166,359
1,1,1.0056666121207962,36
1,1,1.0086708714875428,360
1,1,1.0135519962180475,361
1,1,1.0139633748463217,362
1,1,1.0197630078083983,363
1,1,1.006862127453356,364
1,1,1.022505292646097,365
1,1,1.0124712484298788,366
1,1,1.0156971261009569,367
1,1,1.0127816407532304,368
1,1,1.013671611642682,369
1,1,1.0202127114223078,37
1,1,1.010521352745353,370
1,1,1.019827083141374,371
1,1,1.0100887101788711,372
1,1,1.0020369082903386,373
1,1,1.0034512765694579,374
1,1,1.0233600119369828,375
1,1,1.0121165288617573,376
1,1,1.0142899795122051,377
1,1,1.013238299491275,378
1,1,1.0153823254668077,379
1,1,1.0125691514765582,38
1,1,1.01761317364781,380
1,1,1.0294118335576754,381
1,1,1.0178369097970021,382
1,1,1.0217691519139964,383
1,1,1.009786173668627,384
1,1,1.0186092478499484,385
1,1,1.017162368187955,386
1,1,1.0087332334296377,387
1,1,1.0095613916600736,388
1,1,1.0324506327466736,389
1,1,1.01624466571835,39
1,1,1.012561499508004,390
1,1,1.0193889130160687,391
1,1,1.0084524228450777,392
1,1,1.0106269436524338,393
1,1,1.0242505362220042,394
1,1,1.0081912110127536,395
1,1,1.019883993365333,396
1,1,1.0149895370151425,397
1,1,0.9948618329645449,398
1,1,1.0144368220938458,399
1,1,1.0275066150419327,4
1,1,1.0269396688313608,40
1,1,1.0220854141553297,400
1,1,1.0096988428597327,401
1,1,1.0156337797182962,402
1,1,1.014747314213769,403
1,1,1.001335081842887,404
1,1,1.0161904903109107,405
1,1,1.0199312352345595,406
1,1,1.0164341220895479,407
1,1,1.0182346963959736,408
1,1,1.0074756389900688,409
1,1,1.0178789952536726,41
1,1,1.0192742668717965,410
1,1,1.0112604205549334,411
1,1,1.0044670393348398,412
1,1,1.0093811374367974,413
1,1,1.0192082692289977,414
1,1,1.0243845107014722,415
1,1,1.0135483014516595,416
1,1,1.0072323932497662,417
1,1,1.0231809310843683,418
1,1,1.0093397629176821,419
1,1,1.0008848332360218,42
1,1,1.0170142924729424,420
1,1,1.016615664897024,421
1,1,1.0075955082882775,422
1,1,1.017475518992352,423
1,1,1.0171178623547499,424
1,1,1.0179303866256684,425
1,1,1.0011951660231997,426
1,1,1.0284396417887842,427
1,1,1.0224940322245648,428
1,1,1.0072928503249852,429
1,1,1.0120859096727353,43
1,1,1.0141156782369976,430
1,1,1.0058004495504496,431
1,1,1.0156272479564032,432
1,1,1.0198212118472494,433
1,1,1.0073969247313435,434
1,1,1.013820613771678,435
1,1,1.017747996664806,436
1,1,1.0169590908614967,437
1,1,1.0141849121287483,438
1,1,1.0131034663004508,439
1,1,1.0180384963045674,44
1,1,1.0200860415092146,440
1,1,1.0193080639436147,441
1,1,1.023947439521842,442
1,1,1.0110513826511671,443
1,1,1.005333846516197,444
1,1,1.004693806016766,445
1,1,1.015418977854935,446
1,1,1.0078130679400839,447
1,1,1.0151888407394591,448
1,1,1.0260837640308735,449
1,1,1.0098124554878531,45
1,1,1.019594927318424,450
1,1,1.0203938944221507,451
1,1,1.0194390169554202,452
1,1,1.0160833914634306,453
1,1,1.0128606446618817,454
1,1,1.0172813657278073,455
1,1,1.0164138009338763,456
1,1,1.0108321117139445,457
1,1,1.01674428621423,458
1,1,1.0150949682191495,459
1,1,1.013015280428607,46
1,1,1.0068693150729457,460
1,1,1.0225560364743935,461
1,1,1.0233596018667532,462
1,1,1.0107047021004167,463
1,1,1.0159446559560121,464
1,1,1.021891121220696,465
1,1,1.0149691048950011,466
1,1,1.0131615421291318,467
1,1,1.0138175669810099,468
1,1,1.0104256957323894,469
1,1,1.0012910109899513,47
1,1,1.0122962698026061,470
1,1,1.0241249763655247,471
1,1,1.0077763393185744,472
1,1,1.0130936047678183,473
1,1,1.0094747164877165,474
1,1,1.0075658364117768,475
1,1,1.0114593250819846,476
1,1,1.009815289987555,477
1,1,1.017301532064495,478
1,1,1.0093651023117056,479
1,1,1.0110956180799073,48
1,1,1.0180620295153164,480
1,1,1.0129609174344882,481
1,1,1.0087754849799224,482
1,1,1.0118225078113787,483
1,1,1.0107426100511478,484
1,1,1.011633680234426,485
1,1,1.0127155867552309,486
1,1,1.0279324714504467,487
1,1,1.0080065703850323,488
1,1,1.0099769779375656,489
1,1,1.013211789399322,49
