filename,original_cc,final_cc
431_refined.npy,3,2
917_refined.npy,4,2
545_refined.npy,6,2
716_refined.npy,18,2
122_refined.npy,5,2
627_refined.npy,7,2
265_refined.npy,5,2
484_refined.npy,5,2
824_refined.npy,1,1
350_refined.npy,2,1
598_refined.npy,10,2
581_refined.npy,5,2
652_refined.npy,3,2
72_refined.npy,4,2
132_refined.npy,3,2
789_refined.npy,2,1
835_refined.npy,4,2
14_refined.npy,4,2
129_refined.npy,2,2
976_refined.npy,5,2
279_refined.npy,2,2
64_refined.npy,7,2
674_refined.npy,12,2
364_refined.npy,6,2
524_refined.npy,4,2
40_refined.npy,10,2
732_refined.npy,5,2
547_refined.npy,3,2
903_refined.npy,6,2
567_refined.npy,7,2
219_refined.npy,3,2
845_refined.npy,5,2
200_refined.npy,8,2
104_refined.npy,2,1
765_refined.npy,1,1
333_refined.npy,5,2
898_refined.npy,6,2
287_refined.npy,7,2
234_refined.npy,7,2
168_refined.npy,6,2
533_refined.npy,7,2
784_refined.npy,3,2
954_refined.npy,5,2
291_refined.npy,4,2
823_refined.npy,5,2
673_refined.npy,5,1
863_refined.npy,3,1
155_refined.npy,8,1
399_refined.npy,4,2
731_refined.npy,2,1
246_refined.npy,7,2
775_refined.npy,5,2
979_refined.npy,7,2
368_refined.npy,3,2
592_refined.npy,7,2
583_refined.npy,4,1
458_refined.npy,14,2
210_refined.npy,12,2
783_refined.npy,7,2
580_refined.npy,4,2
920_refined.npy,2,2
410_refined.npy,3,2
722_refined.npy,3,2
534_refined.npy,6,2
357_refined.npy,6,2
935_refined.npy,6,2
153_refined.npy,8,2
231_refined.npy,2,2
98_refined.npy,1,1
107_refined.npy,4,1
228_refined.npy,3,2
589_refined.npy,5,2
205_refined.npy,4,2
175_refined.npy,4,2
542_refined.npy,4,2
343_refined.npy,8,2
217_refined.npy,3,2
284_refined.npy,1,1
224_refined.npy,4,2
832_refined.npy,8,2
398_refined.npy,4,2
245_refined.npy,7,1
687_refined.npy,6,2
386_refined.npy,7,2
241_refined.npy,10,2
763_refined.npy,7,2
912_refined.npy,3,2
891_refined.npy,9,1
618_refined.npy,7,2
535_refined.npy,3,2
263_refined.npy,5,2
446_refined.npy,6,2
869_refined.npy,6,2
550_refined.npy,6,2
54_refined.npy,4,2
544_refined.npy,3,2
659_refined.npy,3,2
365_refined.npy,7,2
591_refined.npy,3,1
252_refined.npy,4,2
804_refined.npy,8,2
297_refined.npy,5,2
812_refined.npy,8,2
16_refined.npy,3,2
941_refined.npy,6,2
994_refined.npy,5,2
850_refined.npy,6,2
463_refined.npy,7,2
422_refined.npy,4,2
670_refined.npy,6,2
136_refined.npy,10,2
292_refined.npy,6,2
43_refined.npy,2,2
886_refined.npy,5,2
172_refined.npy,5,2
256_refined.npy,4,2
973_refined.npy,11,2
290_refined.npy,4,2
425_refined.npy,9,2
513_refined.npy,6,2
47_refined.npy,6,2
858_refined.npy,9,2
442_refined.npy,3,2
562_refined.npy,3,2
312_refined.npy,3,1
443_refined.npy,2,2
15_refined.npy,3,2
232_refined.npy,4,2
575_refined.npy,6,2
261_refined.npy,6,2
709_refined.npy,4,2
988_refined.npy,8,2
140_refined.npy,7,2
53_refined.npy,5,2
294_refined.npy,4,2
780_refined.npy,4,2
209_refined.npy,2,1
523_refined.npy,6,1
648_refined.npy,3,2
681_refined.npy,6,2
6_refined.npy,5,2
2_refined.npy,5,2
739_refined.npy,8,2
838_refined.npy,3,2
577_refined.npy,9,2
158_refined.npy,6,2
413_refined.npy,2,2
996_refined.npy,5,2
981_refined.npy,5,2
110_refined.npy,6,2
50_refined.npy,5,2
915_refined.npy,6,2
307_refined.npy,4,2
807_refined.npy,4,1
126_refined.npy,5,2
532_refined.npy,2,1
274_refined.npy,6,2
218_refined.npy,7,2
961_refined.npy,4,2
558_refined.npy,5,1
32_refined.npy,5,2
541_refined.npy,4,2
984_refined.npy,4,1
704_refined.npy,4,1
459_refined.npy,2,2
309_refined.npy,8,2
769_refined.npy,4,2
455_refined.npy,2,1
412_refined.npy,1,1
719_refined.npy,5,2
221_refined.npy,6,2
790_refined.npy,3,2
810_refined.npy,4,2
518_refined.npy,8,2
703_refined.npy,8,2
152_refined.npy,4,2
340_refined.npy,3,2
73_refined.npy,5,2
411_refined.npy,10,2
537_refined.npy,6,2
355_refined.npy,5,2
721_refined.npy,5,2
423_refined.npy,1,1
1_refined.npy,4,1
164_refined.npy,3,2
693_refined.npy,3,1
802_refined.npy,4,2
959_refined.npy,10,2
692_refined.npy,3,1
967_refined.npy,3,1
500_refined.npy,4,2
314_refined.npy,8,2
109_refined.npy,3,2
990_refined.npy,6,2
55_refined.npy,8,2
310_refined.npy,9,2
741_refined.npy,2,1
521_refined.npy,6,2
496_refined.npy,2,1
839_refined.npy,4,2
51_refined.npy,4,2
159_refined.npy,6,2
906_refined.npy,2,1
925_refined.npy,7,2
441_refined.npy,5,1
285_refined.npy,4,2
628_refined.npy,4,1
993_refined.npy,12,2
661_refined.npy,1,1
91_refined.npy,6,2
197_refined.npy,4,1
568_refined.npy,3,2
276_refined.npy,2,2
199_refined.npy,4,2
383_refined.npy,7,2
751_refined.npy,8,2
793_refined.npy,6,2
611_refined.npy,7,2
243_refined.npy,4,1
809_refined.npy,5,2
346_refined.npy,6,2
483_refined.npy,2,2
729_refined.npy,2,2
117_refined.npy,2,2
926_refined.npy,7,2
448_refined.npy,6,2
306_refined.npy,5,2
430_refined.npy,4,2
173_refined.npy,8,2
320_refined.npy,6,2
754_refined.npy,11,2
495_refined.npy,3,1
733_refined.npy,8,2
876_refined.npy,3,2
539_refined.npy,11,2
316_refined.npy,11,2
995_refined.npy,4,2
300_refined.npy,7,2
969_refined.npy,7,2
585_refined.npy,7,2
445_refined.npy,6,2
347_refined.npy,6,2
361_refined.npy,5,2
565_refined.npy,6,2
570_refined.npy,7,2
705_refined.npy,7,2
572_refined.npy,7,2
664_refined.npy,3,2
921_refined.npy,3,2
248_refined.npy,5,1
238_refined.npy,5,2
571_refined.npy,10,2
480_refined.npy,5,2
974_refined.npy,7,2
302_refined.npy,5,2
715_refined.npy,11,2
253_refined.npy,4,1
97_refined.npy,5,1
369_refined.npy,5,2
325_refined.npy,5,2
582_refined.npy,7,2
65_refined.npy,6,2
454_refined.npy,7,2
946_refined.npy,3,1
798_refined.npy,7,2
884_refined.npy,2,1
33_refined.npy,8,2
230_refined.npy,3,1
379_refined.npy,3,2
831_refined.npy,6,2
675_refined.npy,4,1
36_refined.npy,3,2
328_refined.npy,8,2
914_refined.npy,5,2
744_refined.npy,5,2
738_refined.npy,6,2
826_refined.npy,1,1
965_refined.npy,7,2
817_refined.npy,4,1
286_refined.npy,6,2
836_refined.npy,11,2
188_refined.npy,4,1
116_refined.npy,4,2
556_refined.npy,8,2
655_refined.npy,10,2
156_refined.npy,5,2
288_refined.npy,4,2
424_refined.npy,5,2
619_refined.npy,3,2
401_refined.npy,6,2
872_refined.npy,1,1
606_refined.npy,5,2
318_refined.npy,3,2
668_refined.npy,7,2
843_refined.npy,3,2
962_refined.npy,5,2
800_refined.npy,2,1
356_refined.npy,7,2
220_refined.npy,4,2
151_refined.npy,7,2
650_refined.npy,9,2
145_refined.npy,4,2
940_refined.npy,3,1
742_refined.npy,5,2
600_refined.npy,10,2
578_refined.npy,4,1
432_refined.npy,8,2
630_refined.npy,5,2
787_refined.npy,5,2
597_refined.npy,9,2
697_refined.npy,3,2
708_refined.npy,2,1
20_refined.npy,13,2
579_refined.npy,5,2
957_refined.npy,3,1
196_refined.npy,5,2
629_refined.npy,7,2
767_refined.npy,6,2
885_refined.npy,6,2
877_refined.npy,2,1
718_refined.npy,11,2
13_refined.npy,9,2
516_refined.npy,2,2
345_refined.npy,6,2
439_refined.npy,8,2
711_refined.npy,7,2
963_refined.npy,7,2
608_refined.npy,8,2
723_refined.npy,13,2
949_refined.npy,3,1
647_refined.npy,6,2
574_refined.npy,2,2
498_refined.npy,10,2
879_refined.npy,8,2
94_refined.npy,7,2
473_refined.npy,1,1
60_refined.npy,3,1
95_refined.npy,2,1
479_refined.npy,4,2
907_refined.npy,5,2
737_refined.npy,5,2
184_refined.npy,2,1
41_refined.npy,4,2
573_refined.npy,7,2
772_refined.npy,4,2
157_refined.npy,7,1
663_refined.npy,1,1
438_refined.npy,3,2
326_refined.npy,7,2
980_refined.npy,4,2
269_refined.npy,4,1
919_refined.npy,8,2
806_refined.npy,10,2
450_refined.npy,6,2
714_refined.npy,10,2
528_refined.npy,9,2
427_refined.npy,8,2
239_refined.npy,1,1
81_refined.npy,5,2
273_refined.npy,1,1
658_refined.npy,4,2
250_refined.npy,4,1
74_refined.npy,6,2
39_refined.npy,14,2
712_refined.npy,8,2
366_refined.npy,12,2
112_refined.npy,8,2
143_refined.npy,4,2
177_refined.npy,8,2
76_refined.npy,5,2
